english_name,category
TOTAL MITSUBISHI CARS RETAIL (LINES 2  THRU 4),Report Total/Subtotal
Used Retail to Wholesale Ratio ,Percentage/Ratio
TOTAL BODY SHOP DEPT. (LINES 30 THRU 35),Report Total/Subtotal
UV Units Sold Per NV & UV Sales Rep.,Percentage/Ratio
Warranty Pts. : Warranty Labour Sales,Currency:Warranty
Sales $'s per Wholesale Invoice,Percentage/Ratio
SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26),Report Total/Subtotal
Eclipse Cross,Model/Nameplate
,Other
"(
SUVs
)",Quantity:Units
Active Customers,Count:People
Avg. Technician Wage,Currency:Payroll/Compensation
# of Productive Bays ,Quantity:Units
Absentee Wages,Currency:Payroll/Compensation
TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48) ,Report Total/Subtotal
TOTAL SERVICE DEPARTMENT (LINES 7 THRU 13),Report Total/Subtotal
TOTAL OPERATING EXPENSES (LINES 16 & 63),Report Total/Subtotal
Warranty Rec. / P.D.I. - Mitsubishi,Currency:Warranty
TOTAL MITSUBISHI FLEET,Report Total/Subtotal
TOTAL MITSUBISHI SUV RETAIL (LINES 6 THRU 15),Report Total/Subtotal
TOTAL MIT. NEW (LINES 18  THRU 20),Report Total/Subtotal
Outlander,Model/Nameplate
Outlander PHEV,Model/Nameplate
Hours Available,Quantity:Hours
Hours Sold,Quantity:Hours
Adjustment - Cost of Labour Sales Body Shop,Currency:Cost of Sales
Adjustment Cost of Labour Sales - Mechanical,Currency:Cost of Sales
Adjustments - Used Vehicles Inventory,Quantity:Units
Advertising (Institutional),Currency:Expense
Advertising (Institutional) ,Currency:Expense
Advisors,Count:People
Allowance for Doubtful Accounts,Other
Amortization - Leaseholds,Currency:Expense
Apprentices,Count:People
APR.,Percentage/Ratio
(Assets Line 50 minus Liabilities Line 27),Accounting:BS
AUG.,Other
Bad Debts,Accounting:BS
Bldgs. & Improv.,Other
Body P&A RO,Other
Body Shop,Department/Section
Body Shop Materials,Department/Section
Bonuses - Employees,Currency:Payroll/Compensation
Charitable Donations,Currency:Expense
Chemical / Other Income (CPO),Currency:Revenue/Sales
Chemical / Other Income (Non CPO),Currency:Revenue/Sales
Chemical / Other Income (Other Makes),Currency:Revenue/Sales
Chemical Sales - New,Currency:Revenue/Sales
Common Stock,Quantity:Units
Company Vehicle Expense,Quantity:Units
Company Vehicles,Quantity:Units
Compensation - Clerical,Other
Compensation - Finance,Department/Section
Compensation - Insurance,Currency:Expense
Compensation - Other Supervisor,Other
Compensation - Owner,Other
Compensation - Sales,Currency:Revenue/Sales
Compensation - Service Contracts,Department/Section
Compensation - Supervisors,Other
Contracts in Transit,Other
CP Effective Rate as a % of Posted Rate,Percentage/Ratio
CPO P&A RO,Other
CPO Warranty Labour - MITSUBISHI,Percentage/Ratio
Current Portion of Long Term Debt,Accounting:BS
Customer Body Shop Labour,Count:People
Equip. M/S,Other
